pizza_id,order_id,quantity,order_date,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,1,01-01-2015,13.25,13.25,M,Classic,The Hawaiian Pizza
2,2,1,01-01-2015,16,16,M,Classic,The Classic Deluxe Pizza
3,2,1,01-01-2015,18.5,18.5,L,Veggie,The Five Cheese Pizza
4,2,1,01-01-2015,20.75,20.75,L,Supreme,The Italian Supreme Pizza
5,2,1,01-01-2015,16,16,M,Veggie,The Mexicana Pizza
6,2,1,01-01-2015,20.75,20.75,L,Chicken,The Thai Chicken Pizza
7,3,1,01-01-2015,16.5,16.5,M,Supreme,The Italian Supreme Pizza
8,3,1,01-01-2015,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
9,4,1,01-01-2015,16.5,16.5,M,Supreme,The Italian Supreme Pizza
10,5,1,01-01-2015,16.5,16.5,M,Supreme,The Italian Supreme Pizza
11,6,1,01-01-2015,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
12,6,1,01-01-2015,12,12,S,Classic,The Greek Pizza
13,7,1,01-01-2015,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
14,8,1,01-01-2015,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
15,9,1,01-01-2015,12,12,S,Classic,The Classic Deluxe Pizza
16,9,1,01-01-2015,12,12,S,Veggie,The Green Garden Pizza
17,9,1,01-01-2015,20.5,20.5,L,Classic,The Italian Capocollo Pizza
18,9,1,01-01-2015,20.75,20.75,L,Supreme,The Italian Supreme Pizza
19,9,1,01-01-2015,12.5,12.5,S,Supreme,The Italian Supreme Pizza
20,9,1,01-01-2015,12,12,S,Veggie,The Mexicana Pizza
21,9,1,01-01-2015,20.75,20.75,L,Supreme,The Spicy Italian Pizza
22,9,1,01-01-2015,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
23,9,1,01-01-2015,12,12,S,Veggie,The Vegetables + Vegetables Pizza
24,10,1,01-01-2015,20.25,20.25,L,Veggie,The Mexicana Pizza
25,10,1,01-01-2015,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
26,11,1,01-01-2015,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
27,11,1,01-01-2015,20.75,20.75,L,Chicken,The California Chicken Pizza
28,11,1,01-01-2015,16.75,16.75,M,Chicken,The California Chicken Pizza
29,11,1,01-01-2015,15.25,15.25,L,Classic,The Pepperoni Pizza
30,12,1,01-01-2015,20.75,20.75,L,Chicken,The California Chicken Pizza
31,12,1,01-01-2015,12.75,12.75,S,Chicken,The California Chicken Pizza
