Pizza name, Quantity sold
The Barbecue Chicken Pizza,29
The Big Meat Pizza,21
The Brie Carre Pizza,1
The Calabrese Pizza,2
The California Chicken Pizza,24
The Chicken Alfredo Pizza,10
The Chicken Pesto Pizza,9
The Classic Deluxe Pizza,21
The Five Cheese Pizza,17
The Four Cheese Pizza,17
The Greek Pizza,21
The Green Garden Pizza,9
The Hawaiian Pizza,22
The Italian Capocollo Pizza,20
The Italian Supreme Pizza,28
The Italian Vegetables Pizza,10
The Mediterranean Pizza,7
The Mexicana Pizza,19
The Napolitana Pizza,15
The Pepper Salami Pizza,13
The Pepperoni Pizza,29
"The Pepperoni, Mushroom, and Peppers Pizza",10
The Prosciutto and Arugula Pizza,16
The Sicilian Pizza,17
The Soppressata Pizza,6
The Southwest Chicken Pizza,18
The Spicy Italian Pizza,23
The Spinach and Feta Pizza,9
The Spinach Pesto Pizza,10
The Spinach Supreme Pizza,15
The Thai Chicken Pizza,27
The Vegetables + Vegetables Pizza,15
Grand Total,510
