Pizza name,Sum of total_price
The Barbecue Chicken Pizza,517.75
The Big Meat Pizza,252
The Brie Carre Pizza,23.65
The Calabrese Pizza,32.5
The California Chicken Pizza,438
The Chicken Alfredo Pizza,175.5
The Chicken Pesto Pizza,162.75
The Classic Deluxe Pizza,330
The Five Cheese Pizza,314.5
The Four Cheese Pizza,285.95
The Greek Pizza,361
The Green Garden Pizza,124.25
The Hawaiian Pizza,302
The Italian Capocollo Pizza,361.5
The Italian Supreme Pizza,509.25
The Italian Vegetables Pizza,164.25
The Mediterranean Pizza,120.75
The Mexicana Pizza,342.75
The Napolitana Pizza,247
The Pepper Salami Pizza,228
The Pepperoni Pizza,362.5
"The Pepperoni, Mushroom, and Peppers Pizza",133
The Prosciutto and Arugula Pizza,261.5
The Sicilian Pizza,284.25
The Soppressata Pizza,124.5
The Southwest Chicken Pizza,317.5
The Spicy Italian Pizza,435.5
The Spinach and Feta Pizza,153.25
The Spinach Pesto Pizza,170.25
The Spinach Supreme Pizza,228.25
The Thai Chicken Pizza,492.25
The Vegetables + Vegetables Pizza,257.75
Grand Total,8513.85
