pizza_id,order_id,quantity,order_date,unit_price,total_price,pizza_size,pizza_category,pizza_name
26,11,1,01-01-2015,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
43,17,1,01-01-2015,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
71,27,1,01-01-2015,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
83,33,1,01-01-2015,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
123,51,1,01-01-2015,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
161,69,1,01-01-2015,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
63,24,1,01-01-2015,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
90,36,1,01-01-2015,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
145,61,1,01-01-2015,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
147,62,1,01-01-2015,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
11,6,1,01-01-2015,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
36,15,1,01-01-2015,12,12,S,Classic,The Big Meat Pizza
56,20,1,01-01-2015,12,12,S,Classic,The Big Meat Pizza
79,32,1,01-01-2015,12,12,S,Classic,The Big Meat Pizza
101,42,1,01-01-2015,12,12,S,Classic,The Big Meat Pizza
150,64,1,01-01-2015,12,12,S,Classic,The Big Meat Pizza
44,17,1,01-01-2015,16.25,16.25,M,Supreme,The Calabrese Pizza
27,11,1,01-01-2015,20.75,20.75,L,Chicken,The California Chicken Pizza
30,12,1,01-01-2015,20.75,20.75,L,Chicken,The California Chicken Pizza
28,11,1,01-01-2015,16.75,16.75,M,Chicken,The California Chicken Pizza
31,12,1,01-01-2015,12.75,12.75,S,Chicken,The California Chicken Pizza
105,43,1,01-01-2015,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
74,28,1,01-01-2015,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza
32,12,1,01-01-2015,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
112,46,1,01-01-2015,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
143,60,1,01-01-2015,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
117,48,1,01-01-2015,16.75,16.75,M,Chicken,The Chicken Pesto Pizza
113,46,1,01-01-2015,20.5,20.5,L,Classic,The Classic Deluxe Pizza
2,2,1,01-01-2015,16,16,M,Classic,The Classic Deluxe Pizza
72,27,1,01-01-2015,16,16,M,Classic,The Classic Deluxe Pizza
91,36,1,01-01-2015,16,16,M,Classic,The Classic Deluxe Pizza
134,56,1,01-01-2015,16,16,M,Classic,The Classic Deluxe Pizza
137,57,1,01-01-2015,16,16,M,Classic,The Classic Deluxe Pizza
155,66,1,01-01-2015,16,16,M,Classic,The Classic Deluxe Pizza
