Pizza name,Sum of quantity,Sum of total_price
The Barbecue Chicken Pizza,29,517.75
The Big Meat Pizza,21,252
The Brie Carre Pizza,1,23.65
The Calabrese Pizza,2,32.5
The California Chicken Pizza,24,438
The Chicken Alfredo Pizza,10,175.5
The Chicken Pesto Pizza,9,162.75
The Classic Deluxe Pizza,21,330
The Five Cheese Pizza,17,314.5
The Four Cheese Pizza,17,285.95
The Greek Pizza,21,361
The Green Garden Pizza,9,124.25
The Hawaiian Pizza,22,302
The Italian Capocollo Pizza,20,361.5
The Italian Supreme Pizza,28,509.25
The Italian Vegetables Pizza,10,164.25
The Mediterranean Pizza,7,120.75
The Mexicana Pizza,19,342.75
The Napolitana Pizza,15,247
The Pepper Salami Pizza,13,228
The Pepperoni Pizza,29,362.5
"The Pepperoni, Mushroom, and Peppers Pizza",10,133
The Prosciutto and Arugula Pizza,16,261.5
The Sicilian Pizza,17,284.25
The Soppressata Pizza,6,124.5
The Southwest Chicken Pizza,18,317.5
The Spicy Italian Pizza,23,435.5
The Spinach and Feta Pizza,9,153.25
The Spinach Pesto Pizza,10,170.25
The Spinach Supreme Pizza,15,228.25
The Thai Chicken Pizza,27,492.25
The Vegetables + Vegetables Pizza,15,257.75
Grand Total,510,8513.85
